location,region,date,location_iso,region_iso,total_vaccinations,people_vaccinated,people_fully_vaccinated
Uruguay,Artigas,2021-02-27,UY,UY-AR,4.0,4.0,0.0
Uruguay,Canelones,2021-02-27,UY,UY-CA,27.0,27.0,0.0
Uruguay,Cerro Largo,2021-02-27,UY,UY-CL,3.0,3.0,0.0
Uruguay,Colonia,2021-02-27,UY,UY-CO,7.0,7.0,0.0
Uruguay,Durazno,2021-02-27,UY,UY-DU,5.0,5.0,0.0
Uruguay,Flores,2021-02-27,UY,UY-FS,1.0,1.0,0.0
Uruguay,Florida,2021-02-27,UY,UY-FD,0.0,0.0,0.0
Uruguay,Lavalleja,2021-02-27,UY,UY-LA,2.0,2.0,0.0
Uruguay,Maldonado,2021-02-27,UY,UY-MA,22.0,22.0,0.0
Uruguay,Montevideo,2021-02-27,UY,UY-MO,210.0,210.0,0.0
Uruguay,Paysandu,2021-02-27,UY,UY-PA,8.0,8.0,0.0
Uruguay,Rio Negro,2021-02-27,UY,UY-RN,0.0,0.0,0.0
Uruguay,Rivera,2021-02-27,UY,UY-RV,26.0,26.0,0.0
Uruguay,Rocha,2021-02-27,UY,UY-RO,4.0,4.0,0.0
Uruguay,Salto,2021-02-27,UY,UY-SA,26.0,26.0,0.0
Uruguay,San Jose,2021-02-27,UY,UY-SJ,6.0,6.0,0.0
Uruguay,Soriano,2021-02-27,UY,UY-SO,11.0,11.0,0.0
Uruguay,Tacuarembo,2021-02-27,UY,UY-TA,9.0,9.0,0.0
Uruguay,Treinta y Tres,2021-02-27,UY,UY-TT,1.0,1.0,0.0
Uruguay,Artigas,2021-02-28,UY,UY-AR,4.0,4.0,0.0
Uruguay,Canelones,2021-02-28,UY,UY-CA,27.0,27.0,0.0
Uruguay,Cerro Largo,2021-02-28,UY,UY-CL,3.0,3.0,0.0
Uruguay,Colonia,2021-02-28,UY,UY-CO,7.0,7.0,0.0
Uruguay,Durazno,2021-02-28,UY,UY-DU,5.0,5.0,0.0
Uruguay,Flores,2021-02-28,UY,UY-FS,1.0,1.0,0.0
Uruguay,Florida,2021-02-28,UY,UY-FD,0.0,0.0,0.0
Uruguay,Lavalleja,2021-02-28,UY,UY-LA,2.0,2.0,0.0
Uruguay,Maldonado,2021-02-28,UY,UY-MA,22.0,22.0,0.0
Uruguay,Montevideo,2021-02-28,UY,UY-MO,210.0,210.0,0.0
Uruguay,Paysandu,2021-02-28,UY,UY-PA,8.0,8.0,0.0
Uruguay,Rio Negro,2021-02-28,UY,UY-RN,0.0,0.0,0.0
Uruguay,Rivera,2021-02-28,UY,UY-RV,26.0,26.0,0.0
Uruguay,Rocha,2021-02-28,UY,UY-RO,4.0,4.0,0.0
Uruguay,Salto,2021-02-28,UY,UY-SA,26.0,26.0,0.0
Uruguay,San Jose,2021-02-28,UY,UY-SJ,6.0,6.0,0.0
Uruguay,Soriano,2021-02-28,UY,UY-SO,11.0,11.0,0.0
Uruguay,Tacuarembo,2021-02-28,UY,UY-TA,9.0,9.0,0.0
Uruguay,Treinta y Tres,2021-02-28,UY,UY-TT,1.0,1.0,0.0
Uruguay,Artigas,2021-03-01,UY,UY-AR,492.0,492.0,0.0
Uruguay,Canelones,2021-03-01,UY,UY-CA,1395.0,1395.0,0.0
Uruguay,Cerro Largo,2021-03-01,UY,UY-CL,781.0,781.0,0.0
Uruguay,Colonia,2021-03-01,UY,UY-CO,734.0,734.0,0.0
Uruguay,Durazno,2021-03-01,UY,UY-DU,626.0,626.0,0.0
Uruguay,Flores,2021-03-01,UY,UY-FS,245.0,245.0,0.0
Uruguay,Florida,2021-03-01,UY,UY-FD,543.0,543.0,0.0
Uruguay,Lavalleja,2021-03-01,UY,UY-LA,351.0,351.0,0.0
Uruguay,Maldonado,2021-03-01,UY,UY-MA,1111.0,1111.0,0.0
Uruguay,Montevideo,2021-03-01,UY,UY-MO,7232.0,7232.0,0.0
Uruguay,Paysandu,2021-03-01,UY,UY-PA,553.0,553.0,0.0
Uruguay,Rio Negro,2021-03-01,UY,UY-RN,465.0,465.0,0.0
Uruguay,Rivera,2021-03-01,UY,UY-RV,886.0,886.0,0.0
Uruguay,Rocha,2021-03-01,UY,UY-RO,492.0,492.0,0.0
Uruguay,Salto,2021-03-01,UY,UY-SA,641.0,641.0,0.0
Uruguay,San Jose,2021-03-01,UY,UY-SJ,544.0,544.0,0.0
Uruguay,Soriano,2021-03-01,UY,UY-SO,585.0,585.0,0.0
